Fahrzeugklasse;Fahrzeugart_Code;Fahrzeugart;SUV;Marken_Code;Marke;Marke_und_Typ;Typ1;Typ2;Typ3;Typ4;Typengenehmigungs.Nr;Typengenehmigungs.Nr_Zusatz;Typ;Variante;Version;Fahrgestell.Nr_Teil;Karosserieform_Code;Karosserieform;Farbe;Farbe_Zusatz;Sitzplätze;Sitzplätze_vorne;Stehplätze;Leergewicht;Nutzlast;Gesamtgewicht;Gesamtzugsgewicht;Anhängelast;Dachlast;Tankinhalt_Aufbaus;Hubraum;Zylinder;Leistung;Motorkennzeichen;Treibstoff_Code;Treibstoff;Hybridcode;CO2.WLTP;CO2.NEFZ;El.Verbrauch;Emissionscode;Getriebe_Code;Getriebe;Getriebe_Detailcode;Antrieb_Code;Antrieb;Achsen;Erstinverkehrsetzung_Jahr;Erstinverkehrsetzung_Monat;Erstinverkehrsetzung_Kanton;Erstinverkehrsetzung_Staat;Gebrauchtcode;Ersterfassung_Jahr;Ersterfassung_Monat;Schildfarbe_Code;Schildfarbe;Schildart_Code;Schildart;Inverkehrsetzung_Status_Code;Inverkehrsetzung_Kanton;PLZ;Staat_Code;Staat;Datenstand
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA590;;;;;VNKKJ3D340A......;163;Limousine;Weiss;;5;2;0;1140;330;1470;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;127;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2014;7;AG;;;NA;NA;0;Weiss;N;Normalschild;I;AG;57..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.33;Yaris 1.33;Yaris;1.33;;1TA635;;;;;VNKKJ3D3X0A......;163;Limousine;Grau;Metallic;5;2;0;1131;369;1500;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;119;;B6b;S;Stufenlos;S;V;Vorderrad;2;2016;7;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;ZH;88..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33 MMT;Yaris 1.33 MMT;Yaris;1.33;MMT;1TA425;;;;;VNKKH96320A......;163;Limousine;Schwarz;Metallic;5;2;0;1145;335;1480;0;0;70;0;1329;4;74;1NR;B;Benzin;N/A;0;119;;B04;M;Mechanisch;M6A;V;Vorderrad;2;2010;10;GE;;;NA;NA;0;Weiss;N;Normalschild;I;FR;16..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33 MMT;Yaris 1.33 MMT;Yaris;1.33;MMT;1TA425;;;;;VNKKH96300A......;163;Limousine;Schwarz;Metallic;5;2;0;1145;335;1480;0;0;70;0;1329;4;74;1NR;B;Benzin;N/A;0;119;;B04;M;Mechanisch;M6A;V;Vorderrad;2;2009;10;ZH;;;NA;NA;0;Weiss;N;Normalschild;I;SG;86..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33 MMT;Yaris 1.33 MMT;Yaris;1.33;MMT;1TA425;;;;;VNKKH96380A......;163;Limousine;Weiss;;5;2;0;1145;335;1480;0;0;70;0;1329;4;74;1NR;B;Benzin;N/A;0;119;;B04;M;Mechanisch;M6A;V;Vorderrad;2;2009;4;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VS;19..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.33 S;Yaris 1.33 S;Yaris;1.33;S;1TA496;;;;;VNKKJ3D300A......;163;Limousine;Rot;Metallic;5;2;0;1120;350;1470;0;0;70;0;1329;4;73;1NR;B;Benzin;N/A;0;127;;B5b;M;Mechanisch;M6;V;Vorderrad;2;2012;4;SG;;;NA;NA;0;Weiss;N;Normalschild;I;SG;92..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TA719;;;;;VNKKG3D360A......;163;Limousine;Grau;Metallic;5;2;0;1120;425;1545;0;0;70;0;1496;4;82;2NR;B;Benzin;N/A;0;112;;B6b;M;Mechanisch;M6;V;Vorderrad;2;2018;6;AI;;;NA;NA;0;Weiss;N;Normalschild;I;FR;17..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TA719;;;;;VNKKG3D310A......;163;Limousine;Grau;Metallic;5;2;0;1120;425;1545;0;0;70;0;1496;4;82;2NR;B;Benzin;N/A;0;112;;B6b;M;Mechanisch;M6;V;Vorderrad;2;2018;7;SG;;;NA;NA;0;Weiss;N;Normalschild;I;ZG;63..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;Toyota Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TA903;;;;;VNKKG3D390A......;163;Limousine;Rot;;5;2;0;1168;377;1545;0;0;70;0;1496;4;82;2NR;B;Benzin;N/A;143;112;;B6d;S;Stufenlos;S;V;Vorderrad;2;2019;8;VD;;;NA;NA;0;Weiss;N;Normalschild;I;VD;10..;CH;Schweiz;01.07.2024
M1;1;Personenwagen;0;2114;TOYOTA;TOYOTA Yaris 1.5;Yaris 1.5;Yaris;1.5;;1TB567;;;;;YARKAAC3800......;163;Limousine;Blau;Metallic;5;2;0;1179;376;1555;0;0;50;0;1490;3;92;M15A;B;Benzin;N/A;124;NA;;B6d;S;Stufenlos;S;V;Vorderrad;2;2023;7;AI;;;NA;NA;0;Weiss;N;Normalschild;I;SZ;64..;CH;Schweiz;01.07.2024
